number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,utilization_of_cpu,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
4,0,TSP_CITIES_SET_0_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_1_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_1_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.1, 'max_iterations': 20}","[25.0, 21.9]",21.9,23.45,2.1920310216782983,25.0,1.2024262000000001,nan,nan,nan,nan,nan,nan
4,0,TSP_CITIES_SET_0_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_2_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_2_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.2, 'max_iterations': 20}","[12.5, 10.7]",10.7,11.6,1.272792206135786,12.5,1.2075923000000004,nan,nan,nan,nan,nan,nan
4,0,TSP_CITIES_SET_0_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_3_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_3_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.3, 'max_iterations': 20}","[12.5, 6.2]",6.2,9.35,4.4547727214752495,12.5,1.1687407999999997,nan,nan,nan,nan,nan,nan
4,0,TSP_CITIES_SET_0_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_4_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_4_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.4, 'max_iterations': 20}","[19.6, 17.2]",17.2,18.4,1.6970562748477156,19.6,2.05307,nan,nan,nan,nan,nan,nan
4,0,TSP_CITIES_SET_0_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_5_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_5_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.5, 'max_iterations': 20}","[12.5, 9.4]",9.4,10.95,2.192031021678297,12.5,1.1919616,nan,nan,nan,nan,nan,nan
4,0,TSP_CITIES_SET_0_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_6_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_6_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.6, 'max_iterations': 20}","[28.1, 25.0]",25.0,26.55,2.1920310216782983,28.1,1.3286187000000003,nan,nan,nan,nan,nan,nan
4,0,TSP_CITIES_SET_0_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_7_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_7_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.7, 'max_iterations': 20}","[12.5, 12.5]",12.5,12.5,0.0,12.5,1.4382562,nan,nan,nan,nan,nan,nan
4,0,TSP_CITIES_SET_0_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_8_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_8_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.8, 'max_iterations': 20}","[12.5, 10.9]",10.9,11.7,1.1313708498984758,12.5,1.2293971999999997,nan,nan,nan,nan,nan,nan
4,0,TSP_CITIES_SET_0_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_9_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_9_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.9, 'max_iterations': 20}",[13.1],13.1,13.1,nan,13.1,0.9775440999999998,nan,nan,nan,nan,nan,nan
4,1,TSP_CITIES_SET_1_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_1_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_1_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.1, 'max_iterations': 20}","[12.5, 4.7]",4.7,8.6,5.5154328932550705,12.5,1.1690178000000002,nan,nan,nan,nan,nan,nan
4,1,TSP_CITIES_SET_1_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_2_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_2_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.2, 'max_iterations': 20}","[12.5, 20.3]",12.5,16.4,5.515432893255071,20.3,1.7301967,nan,nan,nan,nan,nan,nan
4,1,TSP_CITIES_SET_1_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_3_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_3_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.3, 'max_iterations': 20}","[25.0, 28.1]",25.0,26.55,2.1920310216782983,28.1,1.6310418000000002,nan,nan,nan,nan,nan,nan
4,1,TSP_CITIES_SET_1_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_4_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_4_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.4, 'max_iterations': 20}","[37.5, 51.8, 42.1]",37.5,43.800000000000004,7.299999999999998,51.8,2.2719849,nan,nan,nan,nan,nan,nan
4,1,TSP_CITIES_SET_1_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_5_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_5_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.5, 'max_iterations': 20}","[17.2, 57.1]",17.2,37.15,28.213560569343247,57.1,2.0628362,nan,nan,nan,nan,nan,nan
4,1,TSP_CITIES_SET_1_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_6_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_6_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.6, 'max_iterations': 20}","[25.0, 14.3, 0.0]",0.0,13.1,12.543125607279869,25.0,2.2228247000000003,nan,nan,nan,nan,nan,nan
4,1,TSP_CITIES_SET_1_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_7_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_7_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.7, 'max_iterations': 20}","[25.0, 32.1]",25.0,28.55,5.020458146424488,32.1,1.6488641,nan,nan,nan,nan,nan,nan
4,1,TSP_CITIES_SET_1_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_8_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_8_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.8, 'max_iterations': 20}","[12.5, 12.5]",12.5,12.5,0.0,12.5,1.472439,nan,nan,nan,nan,nan,nan
4,1,TSP_CITIES_SET_1_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_9_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_9_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.9, 'max_iterations': 20}","[12.5, 17.2]",12.5,14.85,3.323401871576773,17.2,1.9418577999999997,nan,nan,nan,nan,nan,nan
4,2,TSP_CITIES_SET_2_N_4.json,CPU,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_1_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_1_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.1, 'max_iterations': 20}","[12.3, 10.5]",10.5,11.4,1.272792206135786,12.3,1.2152973,nan,nan,nan,nan,nan,nan
